Retailer,Retailer ID,Date,Region,State,Beverage Brand,Price per Unit,Units Sold,Revenue,Expenses,Date
Sodapop,1185732,14/1/2022,Northeast,New York,Coca-Cola,$0.50,"12,000","$6,000","$1,260",14/1/2022
Sodapop,1185732,14/1/2022,Northeast,New York,Diet Coke,$0.50,"10,000","$5,000","$1,700",14/1/2022
Sodapop,1185732,14/1/2022,Northeast,New York,Sprite,$0.40,"10,000","$4,000",$480,14/1/2022
Sodapop,1185732,14/1/2022,Northeast,New York,Fanta,$0.45,"8,500","$3,825",$497,14/1/2022
Sodapop,1185732,14/1/2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400",$918,14/1/2022
Sodapop,1185732,14/1/2022,Northeast,New York,Dasani Water,$0.50,"10,000","$5,000","$1,050",14/1/2022
Sodapop,1185732,02 December 2022,Northeast,New York,Coca-Cola,$0.50,"12,500","$6,250",$875,02 December 2022
Sodapop,1185732,02 December 2022,Northeast,New York,Diet Coke,$0.50,"9,000","$4,500",$225,02 December 2022
Sodapop,1185732,02 December 2022,Northeast,New York,Sprite,$0.40,"9,500","$3,800",$304,02 December 2022
Sodapop,1185732,02 December 2022,Northeast,New York,Fanta,$0.45,"8,250","$3,713",$408,02 December 2022
Sodapop,1185732,02 December 2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400",$810,02 December 2022
Sodapop,1185732,02 December 2022,Northeast,New York,Dasani Water,$0.50,"10,000","$5,000","$1,700",02 December 2022
Sodapop,1185732,03 October 2022,Northeast,New York,Coca-Cola,$0.50,"12,200","$6,100","$2,074",03 October 2022
Sodapop,1185732,03 October 2022,Northeast,New York,Diet Coke,$0.50,"9,250","$4,625","$1,573",03 October 2022
Sodapop,1185732,03 October 2022,Northeast,New York,Sprite,$0.40,"9,500","$3,800","$1,862",03 October 2022
Sodapop,1185732,03 October 2022,Northeast,New York,Fanta,$0.45,"8,000","$3,600",$504,03 October 2022
Sodapop,1185732,03 October 2022,Northeast,New York,Powerade,$0.60,"8,500","$5,100",$714,03 October 2022
Sodapop,1185732,03 October 2022,Northeast,New York,Dasani Water,$0.50,"9,500","$4,750",$713,03 October 2022
